name,configuration,latitude,longitude
YE144,G9+U9+U21,"40,228009","44,549058"
YE145,G9+U9+U21+L8+L18+L26,"40,235597","44,556649"
YE146,G9+U9+U21+L18,"40,231933","44,569309"
YE147,G9+U9+U21+L18+L26,"40,239862","44,569471"
YE148,G9+U9+U21+L18+L26,"40,196762","44,45424"
YE149,G9+U9+U21,"40,191426","44,427245"
YE150,G9+U21+L8+L18+L26,"40,210417","44,440333"
YE151,G9+U9+U21+L8+L18+L26,"40,090389","44,547417"
YE152,G9+U9+U21,"40,21506","44,550719"
YE153,G9+U9+U21+L8,"40,137329","44,567062"
YE154,pure transmission,,
YE155,U21+L18+L26,"40,191984","44,491179"
YE156,U21+L18+L26,"40,179576","44,52177"
YE157,G9+U21+L18+L26,"40,171579","44,446468"
YE158,G9+U9+U21+L18+L26,"40,127385","44,526756"
YE159,U9+U21,"40,179474","44,517466"
YE160,G9+U21,"40,14773","44,491474"
YE162,U9+U21+L8+L18,"40,150685","44,477441"
YE164,U21,"40,178192","44,493631"
YE165,U9+U21+L18+L26,"40,204307","44,472792"
YE166,U9+U21+L18,"40,1885","44,483604"
YE167,G9+U21+L8+L18+L26,"40,183413","44,460412"
YE168,G9+U9+U21+L8+L18+L26,"40,214447","44,523635"
YE171,G9+U9+U21,"40,179881","44,439693"
YE172,U21,"40,168631","44,440455"
YE174,G9+U9+U21,"40,1870531","44,52232264"
YE175,U9+U21,"40,204715","44,493387"
YE176,U9+U21+L8+L18+L26,"40,182199","44,516289"
YE177,G9+U21,"40,194527","44,516465"
YE179,G9+U9+U21,"40,185517","44,562132"
YE181,U9+U21+L8+L18,"40,175231","44,511529"
YE182,U21,"40,203192","44,56436"
YE183,U9+U21,"40,22781","44,59127"
YE184,U9+U21,"40,22518","44,533021"
YE185,U9+U21,"40,20251","44,514906"
YE186,G9+U9+U21+L18+L26,"40,205687","44,501511"
YE187,U21,"40,173864","44,505385"
YE188,G9+U21+L8+L18+L26,"40,205632","44,51412"
YE189,G9+U21+L8+L18+L26,"40,164685","44,461391"
YE190,U21,"40,161644","44,523828"
YE191,U21,"40,135535","44,51753"
YE192,U21+L18+L26,"40,171011","44,43508"
YE193,U21+L18+L26,"40,139797","44,530918"
YE194,U9+U21,"40,171462","44,513099"
YE195,G9+U21+L8+L18+L26,"40,177222","44,448583"
YE196,U9+U21+L18+L26,"40,180147","44,53894"
YE197,U9+U21,"40,180782","44,515076"
YE198,G9+U21+L8+L18+L26,"40,151999","44,522767"
YE201,G9+U21+L18+L26,"40,199173","44,53851"
YE202,U9+U21,"40,094859","44,55664"
YE205,U9+U21+L8+L18,"40,142973","44,510454"
YE209,G9+U21+L8+L18+L26,"40,169972","44,469139"
YE211,U21+L18+L26,"40,219655","44,442065"
YE212,U9+U21+L26,"40,188287","44,556229"
YE215,U9+U21,"40,223506","44,46351"
YE218,U9+U21,"40,180962","44,48735"
YE221,U9+U21+L8+L18+L26,"40,196735","44,566118"
YE226,U9+U21+L8+L18+L26,"40,172453","44,570576"
YE229,U9+U21+L8+L18+L26,"40,218984","44,494377"
YE230,L18+L26,"40,21104","44,45914"
YE233,U9+U21+L8+L18+L26,"40,189417","44,523917"
YE235,G9+U9+U21+L8+L18+L26,"40,181139","44,507083"
YE237,L8+L18+L26,"40,167333","44,518222"
YE239,U21+L8+L18+L26,"40,208639","44,53025"
YE240,U21+L8+L18+L26,"40,204306","44,523556"
YE241,U9+U21+L8+L18+L26,"40,200556","44,521778"
YE243,L8+L18+L26,"40,200583","44,499083"
YE244,U9+U21+L8+L18+L26,"40,201611","44,507417"
YE245,U9+U21+L8+L18+L26,"40,191583","44,477"
YE247,U9+U21+L8+L18+L26,"40,190333","44,461028"
YE250,G9+U9+U21+L8+L18+L26,"40,211304","44,466399"
YE251,L8+L18+L26,"40,223194","44,500306"
YE253,G9+U9+U21+L8+L18+L26,"40,176833","44,526667"
YE254,U9+U21+L8+L18+L26,"40,187056","44,567306"
YE255,U9+U21+L8+L18+L26,"40,198833","44,574194"
YE256,G9+U9+U21+L8+L18+L26,"40,190583","44,572444"
YE257,U9+U21+L8+L18+L26,"40,179083","44,567639"
YE258,U9+U21+L8+L18+L26,"40,205528","44,565111"
YE259,G9+U9+U21+L8+L18+L26,"40,190417","44,593111"
YE260,U21+L8+L18+L26,"40,204361","44,549167"
YE264,L8+L18,"40,225639","44,536139"
YE265,U9+U21+L8+L18+L26,"40,152639","44,509"
YE267,G9+U9+U21+L8+L18+L26,"40,149583","44,48475"
YE268,G9+U9+U21+L8+L18+L26,"40,156639","44,484056"
YE270,U9+U21+L8+L18+L26,"40,166639","44,447944"
YE271,L8+L18+L26,"40,176694","44,439472"
YE273,U9+U21+L8+L18,"40,21229","44,58212"
YE276,U21,"40,109733","44,507233"
YE300,U21,"40,183346","44,515007"
YE302,G9+U21,"40,1978","44,493095"
YE304,G9+U9+U21+L18,"40,155346","44,499344"
YE305,G9+U9+L18,"40,176833","44,526667"
YE306,U9,"40,176833","44,526667"
YE307,U21,"40,201524","44,50486"
YE308,U21,"40,176688","44,522986"
YE309,U21+L18,"40,1885","44,483604"
YE311,U21,"40,187741","44,520872"
YE312,U21+L18,"40,19335","44,48359"
YE314,U21,"40,18857","44,510314"
YE315,U21,"40,184631","44,509792"
YE316,U21,"40,182727","44,513993"
YE318,U21,"40,170502","44,564808"
YE319,U21,"40,170509","44,566506"
YE321,U21,"40,204369","44,572561"
YE323,U21,"40,082893","44,544586"
YE348,U21,"40,182886","44,513106"
YE351,U21,"40,179199","44,509821"
YE355,U21+L18+L26,"40,208547","44,565678"
